danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.398,0.834,11,-5.786,0,0.0472,0.0298,2.35E-06,0.385,0.389,92.376,audio_features,3oipWkBK7GPD86LL3Ccm54,spotify:track:3oipWkBK7GPD86LL3Ccm54,https://api.spotify.com/v1/tracks/3oipWkBK7GPD86LL3Ccm54,https://api.spotify.com/v1/audio-analysis/3oipWkBK7GPD86LL3Ccm54,241253,4
0.556,0.528,1,-10.928,1,0.0466,0.339,0.000984,0.174,0.473,120.836,audio_features,05dVEG6SF5WKIuF3g54Aid,spotify:track:05dVEG6SF5WKIuF3g54Aid,https://api.spotify.com/v1/tracks/05dVEG6SF5WKIuF3g54Aid,https://api.spotify.com/v1/audio-analysis/05dVEG6SF5WKIuF3g54Aid,239600,4
0.32,0.899,9,-7.681,1,0.155,0.0829,0.00402,0.488,0.135,134.096,audio_features,05nm0oC1CtrK3dTasQnFlV,spotify:track:05nm0oC1CtrK3dTasQnFlV,https://api.spotify.com/v1/tracks/05nm0oC1CtrK3dTasQnFlV,https://api.spotify.com/v1/audio-analysis/05nm0oC1CtrK3dTasQnFlV,282813,4
0.42,0.875,5,-7.168,1,0.1,0.095,1.77E-05,0.99,0.494,113.544,audio_features,08BXFggSQOyvvEwrNxFzwZ,spotify:track:08BXFggSQOyvvEwrNxFzwZ,https://api.spotify.com/v1/tracks/08BXFggSQOyvvEwrNxFzwZ,https://api.spotify.com/v1/audio-analysis/08BXFggSQOyvvEwrNxFzwZ,371827,4
0.435,0.7,11,-7.3,0,0.0321,0.388,0,0.118,0.266,84.002,audio_features,08nOTU1hu4UtUKECe9FdA8,spotify:track:08nOTU1hu4UtUKECe9FdA8,https://api.spotify.com/v1/tracks/08nOTU1hu4UtUKECe9FdA8,https://api.spotify.com/v1/audio-analysis/08nOTU1hu4UtUKECe9FdA8,263627,4
0.386,0.813,2,-8.035,1,0.157,0.0346,2.68E-06,0.152,0.677,145.113,audio_features,0aMgyTZecfVmIlosDev8AP,spotify:track:0aMgyTZecfVmIlosDev8AP,https://api.spotify.com/v1/tracks/0aMgyTZecfVmIlosDev8AP,https://api.spotify.com/v1/audio-analysis/0aMgyTZecfVmIlosDev8AP,241187,4
0.744,0.499,5,-7.689,1,0.0352,0.176,0.000393,0.102,0.678,112.338,audio_features,0BKSmrw4dVFlUm1B5sFDqZ,spotify:track:0BKSmrw4dVFlUm1B5sFDqZ,https://api.spotify.com/v1/tracks/0BKSmrw4dVFlUm1B5sFDqZ,https://api.spotify.com/v1/audio-analysis/0BKSmrw4dVFlUm1B5sFDqZ,343320,4
0.667,0.713,2,-7.253,1,0.0462,0.521,0,0.0734,0.526,113.521,audio_features,0bX3cB5ybgOA7dTg4Vvv88,spotify:track:0bX3cB5ybgOA7dTg4Vvv88,https://api.spotify.com/v1/tracks/0bX3cB5ybgOA7dTg4Vvv88,https://api.spotify.com/v1/audio-analysis/0bX3cB5ybgOA7dTg4Vvv88,236507,4
0.222,0.931,2,-8.576,0,0.257,0.136,0.000986,0.99,0.208,146.802,audio_features,0cDoISef239LkONBvhRqR2,spotify:track:0cDoISef239LkONBvhRqR2,https://api.spotify.com/v1/tracks/0cDoISef239LkONBvhRqR2,https://api.spotify.com/v1/audio-analysis/0cDoISef239LkONBvhRqR2,104213,4
0.589,0.827,4,-6.533,0,0.0382,0.0991,0.000119,0.508,0.535,121.97,audio_features,0DIuez2G6UsWkBlkwj3euK,spotify:track:0DIuez2G6UsWkBlkwj3euK,https://api.spotify.com/v1/tracks/0DIuez2G6UsWkBlkwj3euK,https://api.spotify.com/v1/audio-analysis/0DIuez2G6UsWkBlkwj3euK,322987,4
