danceability,speechiness
0.398,0.0472
0.556,0.0466
0.32,0.155
0.42,0.1
0.435,0.0321
0.386,0.157
0.744,0.0352
0.667,0.0462
0.222,0.257
0.589,0.0382
0.58,0.0848
0.507,0.0399
0.537,0.0493
0.323,0.0346
0.283,0.0673
0.511,0.0273
0.573,0.0258
0.484,0.0531
0.381,0.0294
0.417,0.0332
0.615,0.0593
0.347,0.225
0.197,0.034
0.706,0.0433
0.441,0.0909
0.386,0.0953
0.706,0.0433
0.764,0.0241
0.286,0.081
0.41,0.0368
0.667,0.0462
0.354,0.11
0.449,0.0269
0.294,0.0872
0.506,0.0264
0.423,0.0303
0.691,0.0309
0.37,0.0355
0.371,0.0528
0.317,0.104
0.706,0.0433
0.337,0.0364
0.476,0.0487
0.352,0.0329
0.669,0.0577
0.61,0.0451
0.42,0.0511
0.345,0.0356
0.416,0.0337
0.393,0.043
0.239,0.036
0.455,0.027
0.23,0.0629
0.252,0.228
0.528,0.0574
0.614,0.03
0.228,0.0342
0.639,0.0544
0.312,0.0283
0.275,0.0303
0.395,0.028
0.7,0.0849
0.0986,0.035
0.567,0.128
0.183,0.0355
0.467,0.0478
0.434,0.0288
0.273,0.0321
0.309,0.0358
0.863,0.0528
0.182,0.0324
0.619,0.027
0.675,0.0564
0.406,0.0633
0.398,0.0472
0.575,0.0385
0.271,0.0468
0.174,0.0383
0.493,0.139
0.522,0.0294
0.317,0.0344
0.245,0.0588
0.435,0.0321
0.546,0.0434
0.398,0.0472
0.271,0.0468
0.362,0.0891
0.286,0.032
0.535,0.0309
0.396,0.0625
0.35,0.2
0.404,0.0479
0.514,0.0267
0.478,0.0402
0.672,0.036
0.744,0.0352
0.297,0.155
0.433,0.0284
0.285,0.0294
0.242,0.252
0.328,0.0434
0.367,0.172
0.377,0.0492
0.604,0.0282
0.274,0.0588
0.516,0.0429
0.493,0.139
0.58,0.0848
0.336,0.0347
0.458,0.0896
0.238,0.128
0.197,0.0643
0.182,0.0324
0.395,0.0329
0.396,0.0318
0.935,0.227
0.242,0.0358
0.422,0.0299
0.67,0.0356
0.478,0.0259
0.493,0.139
0.449,0.0269
0.421,0.0482
0.3,0.0333
0.392,0.0515
0.283,0.0321
0.682,0.0463
0.615,0.0593
0.319,0.0345
0.447,0.0269
0.478,0.0559
0.428,0.0849
0.688,0.032
0.796,0.0325
0.395,0.0899
0.556,0.0261
0.155,0.0541
0.371,0.0806
0.283,0.0562
0.314,0.0365
0.47,0.0884
0.685,0.0455
0.236,0.25
0.49,0.139
0.428,0.0849
0.504,0.0427
0.688,0.0444
0.548,0.0563
0.449,0.0269
0.206,0.141
0.393,0.0481
0.449,0.0848
0.382,0.0287
0.463,0.0262
0.656,0.118
0.484,0.0967
0.204,0.401
0.212,0.105
0.388,0.0804
0.498,0.0471
0.391,0.0294
0.431,0.0303
0.382,0.0299
0.264,0.0762
0.268,0.0346
0.446,0.268
0.485,0.123
0.167,0.0556
0.507,0.0269
0.415,0.0351
0.563,0.024
0.263,0.0606
0.246,0.0741
0.645,0.0395
0.357,0.0276
